Title,Description,Release,Director,Rating,Duration,Votes,Genre,Stars
Jack Ryan,Up-and-coming CIA analyst Jack Ryan is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.,2018,John Krasinski,8.1,60,109032.0,"Action, Drama, Thriller","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish"
Halo,Aliens threaten human existence in an epic 26th-century showdown. TV series based on the video game 'Halo'.,2022,Pablo Schreiber,6.1,,,"Action, Adventure, Sci-Fi","Pablo Schreiber, Natascha McElhone, Yerin Ha, Bokeem Woodbine"
Shang-Chi e la leggenda dei dieci anelli,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",2021,Destin Daniel Cretton,7.5,132,336404.0,"Action, Adventure, Fantasy","Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley"
Justified - L'uomo della legge,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",2010,Timothy Olyphant,8.6,44,96303.0,"Action, Crime, Drama","Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts"
All'arrembaggio! - One Piece,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",1999,Mayumi Tanaka,8.8,24,105627.0,"Animation, Action, Adventure","Mayumi Tanaka, Tony Beck, Laurent Vernin, Akemi Okamura"
S,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,2017,Shemar Moore,7.2,43,21174.0,"Action, Adventure, Crime","Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson"
Magnum P,An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.,2018,Jay Hernandez,6.0,43,12083.0,"Action, Adventure, Crime","Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill"
Avatar 2,"Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.",2022,James Cameron,,,,"Action, Adventure, Sci-Fi","Zoe Saldana, Kate Winslet, Michelle Yeoh, Sigourney Weaver"
The Flash,"The plot is unknown. Feature film based on the comic book superhero, The Flash.",2023,Andy Muschietti,,,,"Action, Adventure, Fantasy","Ben Affleck, Michael Keaton, Ezra Miller, Temuera Morrison"
Argylle,World's greatest spy 'Argylle' as he is caught up in a globe-trotting adventure.,2022,Matthew Vaughn,,,,Action,"Ariana DeBose, Henry Cavill, Samuel L. Jackson, Bryce Dallas Howard"
Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,2008,Tom Kane,8.4,23,83220.0,"Animation, Action, Adventure","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor"
Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.",2021,Lee Jung-jae,8.1,55,409254.0,"Action, Drama, Mystery","Lee Jung-jae, Park Hae-soo, Kamran Kiani, Wi Ha-Joon"
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,Christopher Nolan,8.8,148,2249.0,"Action, Adventure, Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
The Protégé,"Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",2021,Martin Campbell,6.1,109,25925.0,"Action, Thriller","Michael Keaton, Maggie Q, Samuel L. Jackson, David Rintoul"
Il talento di Mr,"A cash-strapped Nicolas Cage agrees to make a paid appearance at a billionaire super fan's birthday party, but is really an informant for the CIA since the billionaire fan is a drug kingpin and gets cast in a Tarantino movie.",2022,Tom Gormican,9.3,105,302.0,"Action, Comedy, Crime","Nicolas Cage, Jacob Scipio, Pedro Pascal, Demi Moore"
House of the Dragon,The story of the House Targaryen set 200 years before the events of Il trono di spade (2011).,2022,Paddy Considine,,,,"Action, Adventure, Drama","Paddy Considine, Olivia Cooke, Emma D'Arcy, Matt Smith"
Venom - La furia di Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",2021,Andy Serkis,6.0,97,183743.0,"Action, Adventure, Sci-Fi","Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris"
Hawkeye,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",2021,Jeremy Renner,7.7,60,141544.0,"Action, Adventure, Crime","Jeremy Renner, Hailee Steinfeld, Florence Pugh, Vera Farmiga"
